id,code,Indicator,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
5,NPL,broaatax,2.04923,1.688625,1.270071,-2.376031,1.712462,2.321301,1.811785,1.845219,2.154798,2.297459,2.034533,1.72344,1.416527,1.685577,1.676657
5,NPL,broabtax,3.106446,2.647885,1.848116,-1.794452,2.179657,2.82926,2.395634,2.623659,2.83317,2.986937,2.800058,2.385683,1.933132,2.336922,2.396696
5,NPL,broeatax,31.46678,27.42499,19.02972,20.32671,19.75765,22.34088,24.47485,26.42822,25.84125,28.45908,24.48618,18.13379,15.14096,19.89389,19.54132
5,NPL,broebtax,47.70078,43.00436,27.69068,31.15579,30.19953,33.5971,35.4387,38.72463,36.72035,38.31133,34.35796,26.0768,21.33736,27.56594,27.93332
5,NPL,zscore,7.727989,7.260159,7.949944,-13.13068,-6.719554,-4.058904,4.795214,-1.133107,2.574687,5.431813,6.664992,7.964357,8.294763,9.066168,10.06715
5,NPL,cbassgdp,5.693591,4.948324,4.968102,3.932938,2.491019,2.69434,2.669583,2.991438,3.137852,2.683399,2.746442,2.707629,2.264827,1.805415,1.52495
5,NPL,creditd,30.6706,29.4159,22.8689,26.1426,27.0973,28.7262,33.1514,37.2815,51.6526,59.1785,54.59,52.9545,56.1292,58.0326,62.6275
5,NPL,fbassets,,,,,22,14,20,16,14,13,13,13,12,11,
5,NPL,fbanks,25,22,15,15,14,14,14,12,12,12,10,10,10,10,
5,NPL,gdp,5500000000,6000000000,6100000000,6300000000,7300000000,8100000000,9000000000,10000000000,13000000000,13000000000,16000000000,19000000000,19000000000,19000000000,20000000000
5,NPL,gdppc,289.873,298.742,294.514,301.801,311.805,318.748,325.801,333.435,350.274,362.47,375.924,384.448,398.123,409.58,426.413
5,NPL,insuranceass,,,,,,,0.577326,0.60083,0.680432,3.74536,3.97896,4.47809,4.8342,4.79431,5.24223
5,NPL,lerner,0.3514823,0.342409,0.3423926,0.3261214,0.3541852,0.2942363,0.2866802,0.2681126,0.3097177,0.2847397,0.2758732,0.2365731,0.1762626,0.2595548,0.2822672
5,NPL,llgdp,46.84691,47.29039,49.80254,50.36771,50.8577,51.65604,52.38098,55.69329,60.54885,67.42627,69.78432,70.00222,73.41791,77.47785,80.84608
5,NPL,macap,10.50063,10.21221,7.352782,7.095352,9.320283,13.52975,17.28534,32.43175,41.28442,37.24799,33.98425,24.75771,20.08755,,
6,PAK,bankaccntadult,,,,,124.16328,135.28996,186.7019,203.16959,201.99752,207.71119,233.1098,250.99343,262.59871,281.38058,295.23203
6,PAK,bankbradult,,,,,7.4560813,7.5530849,7.6987879,7.9429637,8.273474,8.3465789,8.3846218,8.5439412,8.7812428,9.1103979,9.37944
6,PAK,bankcapass,4.9,3.8,4.8,5.4,6.7,7.9,9.4,10.5,10.4,10.1,9.8,9.6,9,8.9,10
6,PAK,bankconc,74.85625,73.61308,71.90908,65.13717,62.39592,62.33065,66.36902,72.89925,73.3652,74.7055,88.92295,94.97516,42.80866,42.65822,42.89249
6,PAK,creditdeposit,79.00762,78.12009,71.14333,69.02843,74.76315,77.14115,77.79414,77.96243,81.35664,80.46661,71.5172,65.63651,58.42205,52.40785,49.90314
6,PAK,nim,2.852683,3.243576,3.23764,3.702605,3.642938,4.092424,3.890848,3.65028,4.215409,4.180476,3.133109,3.277465,8.127673,3.873902,4.444434
6,PAK,nplgl,19.5,23.4,21.8,17,11.6,8.3,6.9,7.6,9.1,12.2,14.7,16.2,14.5,13,12.3
6,PAK,boc,2.462071,2.462605,2.510774,2.735022,2.479035,2.530944,2.537809,2.786733,3.589271,3.444651,2.879081,2.755223,4.66931,2.482144,2.694995
6,PAK,broaatax,0.5893403,0.8717529,0.9794208,1.210467,1.396463,1.415353,1.115162,0.0870308,-1.184245,-0.7102017,-1.384428,0.0825241,2.33102,1.104357,1.503372
6,PAK,broabtax,1.339915,1.63967,1.723204,1.869498,2.030953,2.035155,1.612625,0.0308721,-1.796631,-0.991945,-1.716087,0.0333073,3.491136,1.586794,2.270437
6,PAK,broeatax,8.999401,14.41173,15.19309,18.31077,20.449,19.92496,14.42949,0.8288261,-9.360826,-3.698766,-13.98641,1.064115,26.59826,12.4316,16.26436
6,PAK,broebtax,20.4609,27.10686,26.73091,28.27997,29.74011,28.65036,20.86635,0.2940061,-14.20141,-5.961215,-17.33706,0.4294835,39.83585,17.86233,24.56292
6,PAK,zscore,6.704904,7.232604,7.827511,8.037627,8.655499,8.834426,9.667987,12.84616,12.12478,11.29048,6.567118,8.054942,11.50432,10.31639,11.3467
6,PAK,cbassgdp,14.62803,12.16053,7.817926,4.083486,4.692727,7.348255,7.550163,6.8771,10.08374,11.01916,10.32912,8.754295,8.293289,10.46957,11.60789
6,PAK,creditd,22.3361,21.7755,21.674,24.5973,28.7361,28.6456,26.85,27.8432,28.7338,22.7228,21.4129,18.1263,16.9373,16.1182,15.6448
6,PAK,fbassets,,,,,29,21,49,51,51,50,49,50,51,52,
6,PAK,fbanks,19,14,13,12,12,16,30,35,38,38,42,43,43,43,
6,PAK,gdp,74000000000,72000000000,72000000000,83000000000,98000000000,1.10E+11,1.40E+11,1.50E+11,1.70E+11,1.70E+11,1.80E+11,2.10E+11,2.20E+11,2.30E+11,2.40E+11
6,PAK,gdppc,620.774,619.496,626.221,643.282,676.818,714.037,742.803,762.893,760.035,765.486,761.671,766.266,776.495,793.409,813.706
6,PAK,insuranceass,,,,2.97276,2.966,,2.71161,1.39254,1.10043,0.954706,1.00683,0.870841,0.958624,1.01592,
6,PAK,lerner,0.049308,0.049447,0.176172,0.296051,0.3501,0.302181,0.206197,0.155702,0.127947,0.036711,0.079278,0.074335,,,
6,PAK,llgdp,37.3822,38.0128,41.51544,43.97984,45.43758,46.69027,45.55214,46.39322,45.74257,37.77523,38.8854,35.74532,37.63559,38.73463,39.13084
6,PAK,macap,8.769727,7.466457,10.29046,16.18605,45.00945,41.4148,32.93473,36.87894,29.15559,14.9045,19.27904,16.54916,16.91438,,
7,LKA,bankaccntadult,,,,,,,,,,,,,,,
7,LKA,bankbradult,,,,,8.6658983,8.9422296,11.856854,13.063639,13.838358,14.590544,15.506457,16.858478,18.093797,18.442788,18.651578
7,LKA,bankcapass,,,,,,,,,,,,8.7,8.5,8.2,8.2
7,LKA,bankconc,75.91041,73.48256,70.58125,66.91665,64.95569,65.10285,64.61593,64.24747,63.40191,65.33372,66.59997,56.10949,57.51616,56.19963,61.29111
7,LKA,creditdeposit,86.78351,83.89407,82.17326,83.00887,83.87009,86.73717,91.13612,94.01105,93.63632,82.4722,76.6663,84.66315,88.54697,83.92608,78.95296
7,LKA,nim,4.034361,3.504566,2.353654,2.225551,2.259125,4.726853,4.773949,4.889229,4.98139,5.270823,5.369546,4.930489,4.947972,4.858893,3.845103
7,LKA,nplgl,,,,,,,,,,,,3.8,3.6,5.6,4.2
7,LKA,boc,3.943524,3.582657,3.157816,3.876942,6.223063,3.886671,4.036577,3.810208,4.008514,4.05815,3.894829,3.265302,2.86946,2.669313,2.379438
7,LKA,broaatax,0.1931472,0.3743054,0,0,0,0.9737964,0.9260985,1.072159,0.9005975,0.9691166,1.247448,1.576819,1.741745,1.419974,1.259009
7,LKA,broabtax,0.3533748,0.4558889,0,0,0,1.525194,1.643149,1.787614,1.668017,1.747513,2.202121,2.344584,2.746494,2.294637,2.110494
7,LKA,broeatax,10.7401,7.663112,0,0,0,19.68359,18.09809,19.20223,14.96145,15.60633,19.60219,23.26431,22.28795,17.77733,16.00384
7,LKA,broebtax,14.26066,9.549938,0,0,0,30.82913,32.1109,32.01592,27.71044,28.14136,34.60378,34.59187,35.14506,28.72764,26.82746
7,LKA,zscore,5.682131,13.86622,8.319731,8.913998,7.340939,9.825328,10.02597,11.45162,11.48851,11.89823,12.55462,11.58648,11.95429,11.90804,11.08736
7,LKA,cbassgdp,5.611001,6.713718,5.359539,4.053,4.180401,4.254747,3.518171,3.106436,3.815308,3.535946,1.940904,2.723207,3.46312,2.18923,1.94514
7,LKA,creditd,28.8346,28.1074,27.6342,28.9232,30.6202,32.8985,33.9736,33.2552,28.6961,24.739,23.2586,27.7755,26.9808,26.4072,26.7879
7,LKA,fbassets,,,,,,0,0,0,0,0,0,0,0,0,
7,LKA,fbanks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,LKA,gdp,16000000000,16000000000,17000000000,19000000000,21000000000,24000000000,28000000000,32000000000,41000000000,42000000000,57000000000,65000000000,68000000000,74000000000,79000000000
7,LKA,gdppc,1051.76,1052.31,1086.86,1136.29,1182.01,1242.43,1323.29,1400.46,1468.62,1505.42,1610.12,1727.37,1926.41,1976.83,2045.86
7,LKA,insuranceass,,,,,,4.28901,4.0038,3.76887,3.53671,3.74424,3.90967,3.9951,4.16725,4.121,4.1578
7,LKA,lerner,0.163441,0.125424,0.160569,0.230489,0.225348,0.231075,0.224692,0.208285,0.183149,0.200786,0.271065,,,,
7,LKA,llgdp,35.92682,37.44488,36.05736,36.46049,36.71712,38.09644,37.80547,36.30765,34.89165,34.18496,34.63799,35.16083,36.03092,36.88483,37.56953
7,LKA,macap,7.751928,7.271846,8.569739,11.43513,14.61675,19.05278,23.31297,22.95861,15.81439,15.89343,25.7445,30.65618,24.96349,24.14618,27.00022
